LDA_topic,business,entertainment,health,news,politics,sport
0,0.004662004662004662,0.009324009324009324,0.004662004662004662,0.08624708624708624,0.0,0.8951048951048951
1,0.055900621118012424,0.0,0.006211180124223602,0.7298136645962733,0.003105590062111801,0.20496894409937888
2,0.0189873417721519,0.02531645569620253,0.0189873417721519,0.560126582278481,0.0,0.37658227848101267
3,0.004784688995215311,0.009569377990430622,0.0,0.4449760765550239,0.0,0.5406698564593302
4,0.0056657223796034,0.0,0.0,0.042492917847025496,0.0056657223796034,0.9461756373937678
5,0.07758620689655173,0.005747126436781609,0.005747126436781609,0.41379310344827586,0.0,0.49712643678160917
6,0.0196078431372549,0.02287581699346405,0.006535947712418301,0.3202614379084967,0.06862745098039216,0.5620915032679739
7,0.012345679012345678,0.015432098765432098,0.04938271604938271,0.5833333333333334,0.11419753086419752,0.22530864197530864
8,0.004166666666666667,0.029166666666666667,0.020833333333333332,0.4625,0.0125,0.4708333333333333
9,0.0029154518950437317,0.0029154518950437317,0.0,0.11078717201166181,0.0,0.8833819241982507
10,0.055449330783938815,0.0057361376673040155,0.021032504780114723,0.7131931166347992,0.011472275334608031,0.1931166347992352
11,0.01928374655647383,0.05234159779614325,0.01652892561983471,0.27823691460055094,0.013774104683195593,0.6198347107438017
