LDA_topic,business,entertainment,health,news,politics,sport
0,2,4,2,37,0,384
1,18,0,2,235,1,66
2,6,8,6,177,0,119
3,1,2,0,93,0,113
4,2,0,0,15,2,334
5,27,2,2,144,0,173
6,6,7,2,98,21,172
7,4,5,16,189,37,73
8,1,7,5,111,3,113
9,1,1,0,38,0,303
10,29,3,11,373,6,101
11,7,19,6,101,5,225
