target,label_source,representation,representation_display,label_source_display,model,model_display_name,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall
category,llm,sentence_bert,Sentence-BERT,LLM labels,xgboost,XGBoost,0.6985294117647058,0.4648626720611395,0.7502629156729969,0.4642422420144586,0.6295110199378248,0.8367633077208584,0.6985294117647058
category,real,sentence_bert,Sentence-BERT,CNN labels,neural_network,Small Neural Network,0.943627450980392,0.7622280497280497,0.942000208850699,0.8086897609098601,0.7380403125217644,0.9427163325208072,0.943627450980392
section,llm,sentence_bert,Sentence-BERT,LLM labels,logistic,Logistic Regression,0.4497549019607843,0.2160324782961773,0.4956877132748061,0.2315983291363248,0.2810165998933041,0.7384269342990836,0.4497549019607843
section,llm,tfidf,TF-IDF,LLM labels,svm,Linear SVM,0.3321078431372549,0.1336005539647683,0.3226688036646548,0.191907849958396,0.1803771127060044,0.6220350059465966,0.3321078431372549
section,real,sentence_bert,Sentence-BERT,CNN labels,logistic,Logistic Regression,0.8112745098039216,0.3819297868504702,0.8192122118373556,0.361437866458127,0.4343898536227186,0.8440512422898988,0.8112745098039216
section,real,tfidf,TF-IDF,CNN labels,svm,Linear SVM,0.8848039215686274,0.4944491741828796,0.8734177967879432,0.5144320523115626,0.5016370496230762,0.8705601913264561,0.8848039215686274
