representation,representation_display,target,label_source,label_source_display,model,model_display_name,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_precision,weighted_recall
sentence_bert,Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,0.6985294117647058,0.4648626720611395,0.7502629156729969,0.4642422420144586,0.6295110199378248,0.8367633077208584,0.6985294117647058
sentence_bert,Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,0.6017156862745098,0.4268140329377499,0.6627389404284789,0.4096047318155203,0.6648444672377661,0.7807431365845049,0.6017156862745098
sentence_bert,Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,0.5845588235294118,0.3941101763926888,0.6632529314930249,0.403897063904252,0.6521227863569307,0.8293575543308861,0.5845588235294118
sentence_bert,Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,0.5379901960784313,0.359842381351577,0.6196658232202557,0.3735736593943486,0.6460341203360749,0.8062388388036377,0.5379901960784313
sentence_bert,Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,0.7573529411764706,0.3565835980617882,0.7791114417516449,0.438910353413396,0.4308635819704827,0.8288202177986363,0.7573529411764706
sentence_bert,Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,0.943627450980392,0.7622280497280497,0.942000208850699,0.8086897609098601,0.7380403125217644,0.9427163325208072,0.943627450980392
sentence_bert,Sentence-BERT,category,real,CNN labels,svm,Linear SVM,0.9399509803921569,0.7496679483476942,0.9409461298186222,0.7397609784310596,0.767329889009187,0.94266767649447,0.9399509803921569
sentence_bert,Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,0.9142156862745098,0.7278828246701549,0.923365692988654,0.6747017003819309,0.845571922426729,0.939164399587336,0.9142156862745098
sentence_bert,Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,0.9264705882352942,0.590580990884202,0.9114773791042284,0.7932579822182907,0.5390226413660798,0.9182746536705616,0.9264705882352942
sentence_bert,Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,0.9068627450980392,0.3814234599024513,0.8790461705355128,0.4671915040410013,0.367337961643905,0.8613529237833514,0.9068627450980392
sentence_bert,Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,0.4497549019607843,0.2160324782961773,0.4956877132748061,0.2315983291363248,0.2810165998933041,0.7384269342990836,0.4497549019607843
sentence_bert,Sentence-BERT,section,llm,LLM labels,svm,Linear SVM,0.3786764705882353,0.1696679823939259,0.4087734238788657,0.2104162449641086,0.2328702276211806,0.657552958524939,0.3786764705882353
sentence_bert,Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,0.3272058823529412,0.112927016718444,0.3395860484352011,0.1842518803810531,0.1668751275060268,0.6167601881232545,0.3272058823529412
sentence_bert,Sentence-BERT,section,llm,LLM labels,xgboost,XGBoost,0.3198529411764705,0.1042381919775747,0.3137476654702548,0.155708294051328,0.1347532805261392,0.5622304578116465,0.3198529411764705
sentence_bert,Sentence-BERT,section,llm,LLM labels,random_forest,Random Forest,0.2083333333333333,0.0409294414878011,0.1430701533831714,0.1198793699126823,0.0710939915483821,0.4642314371119463,0.2083333333333333
tfidf,TF-IDF,section,llm,LLM labels,svm,Linear SVM,0.3321078431372549,0.1336005539647683,0.3226688036646548,0.191907849958396,0.1803771127060044,0.6220350059465966,0.3321078431372549
tfidf,TF-IDF,section,llm,LLM labels,logistic,Logistic Regression,0.2512254901960784,0.0754158643537356,0.2111621471381188,0.1620386862149468,0.1128369456101282,0.5737504628714668,0.2512254901960784
tfidf,TF-IDF,section,llm,LLM labels,multinomial_naive_bayes,Multinomial Naive Bayes,0.1691176470588235,0.0207558531970234,0.0778827096533594,0.1138077411624192,0.0705809683516429,0.6127179640119149,0.1691176470588235
sentence_bert,Sentence-BERT,section,real,CNN labels,logistic,Logistic Regression,0.8112745098039216,0.3819297868504702,0.8192122118373556,0.361437866458127,0.4343898536227186,0.8440512422898988,0.8112745098039216
sentence_bert,Sentence-BERT,section,real,CNN labels,svm,Linear SVM,0.8333333333333334,0.3609473740844643,0.8373645978223047,0.3604850007261687,0.3963923817897358,0.8523258698734894,0.8333333333333334
sentence_bert,Sentence-BERT,section,real,CNN labels,neural_network,Small Neural Network,0.8370098039215687,0.3441553144551338,0.8297520916698291,0.3443294318769752,0.3501346931361858,0.8260916952332816,0.8370098039215687
sentence_bert,Sentence-BERT,section,real,CNN labels,xgboost,XGBoost,0.8149509803921569,0.3196428903212663,0.800995464726015,0.3317389107581759,0.3125728633542076,0.7925971655258108,0.8149509803921569
sentence_bert,Sentence-BERT,section,real,CNN labels,random_forest,Random Forest,0.7365196078431373,0.1932312624877381,0.6920411491250342,0.2403472613871393,0.1765677294473214,0.7024808133666706,0.7365196078431373
tfidf,TF-IDF,section,real,CNN labels,svm,Linear SVM,0.8848039215686274,0.4944491741828796,0.8734177967879432,0.5144320523115626,0.5016370496230762,0.8705601913264561,0.8848039215686274
tfidf,TF-IDF,section,real,CNN labels,logistic,Logistic Regression,0.8051470588235294,0.3107465110169831,0.7731980086749889,0.3817916739337761,0.2909497577075297,0.7792617869733898,0.8051470588235294
tfidf,TF-IDF,section,real,CNN labels,multinomial_naive_bayes,Multinomial Naive Bayes,0.6666666666666666,0.153889415341396,0.5931545686545676,0.2026901512672279,0.1473138440960676,0.6088865639821179,0.6666666666666666
