representation,representation_display,target,label_source,label_source_display,model_count,mean_accuracy,mean_macro_f1,mean_weighted_f1,best_accuracy,best_macro_f1,best_weighted_f1
sentence_bert,Sentence-BERT,category,llm,LLM labels,5,0.6360294117647058,0.40044257216098866,0.6950064105132803,0.7573529411764706,0.4648626720611395,0.7791114417516449
sentence_bert,Sentence-BERT,category,real,CNN labels,5,0.9262254901960784,0.6423566547065105,0.9193671162595433,0.943627450980392,0.7622280497280497,0.942000208850699
sentence_bert,Sentence-BERT,section,llm,LLM labels,5,0.3367647058823529,0.1287590221747846,0.3401730008884598,0.4497549019607843,0.2160324782961773,0.4956877132748061
tfidf,TF-IDF,section,llm,LLM labels,3,0.2508169934640523,0.07659075717184242,0.20390455348537764,0.3321078431372549,0.1336005539647683,0.3226688036646548
sentence_bert,Sentence-BERT,section,real,CNN labels,5,0.8066176470588236,0.3199813256398145,0.7958731030361077,0.8370098039215687,0.3819297868504702,0.8373645978223047
tfidf,TF-IDF,section,real,CNN labels,3,0.7855392156862745,0.3196950335137529,0.7465901247058332,0.8848039215686274,0.4944491741828796,0.8734177967879432
