target,label_source,model,model_display_name,tfidf_accuracy,tfidf_macro_f1,tfidf_weighted_f1,sentence_bert_accuracy,sentence_bert_macro_f1,sentence_bert_weighted_f1,label_source_display,accuracy_difference,accuracy_winner,macro_f1_difference,macro_f1_winner,weighted_f1_difference,weighted_f1_winner
section,llm,logistic,Logistic Regression,0.2512254901960784,0.0754158643537356,0.2111621471381188,0.4497549019607843,0.2160324782961773,0.4956877132748061,LLM labels,0.1985294117647059,Sentence-BERT,0.1406166139424417,Sentence-BERT,0.28452556613668734,Sentence-BERT
section,llm,svm,Linear SVM,0.3321078431372549,0.1336005539647683,0.3226688036646548,0.3786764705882353,0.1696679823939259,0.4087734238788657,LLM labels,0.04656862745098039,Sentence-BERT,0.03606742842915758,Sentence-BERT,0.08610462021421095,Sentence-BERT
section,real,logistic,Logistic Regression,0.8051470588235294,0.3107465110169831,0.7731980086749889,0.8112745098039216,0.3819297868504702,0.8192122118373556,CNN labels,0.006127450980392135,Sentence-BERT,0.0711832758334871,Sentence-BERT,0.04601420316236671,Sentence-BERT
section,real,svm,Linear SVM,0.8848039215686274,0.4944491741828796,0.8734177967879432,0.8333333333333334,0.3609473740844643,0.8373645978223047,CNN labels,-0.051470588235294046,TF-IDF,-0.13350180009841528,TF-IDF,-0.03605319896563852,TF-IDF
