target,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
category,0.6282208588957056,0.4393504215229725,0.7419846705356551,0.4492923261895665,0.8269461736531734,0.6282208588957056,0.6935601000066075
section,0.3386503067484662,0.2556226227725619,0.2253040427567936,0.1557618970825644,0.6440581849988236,0.3386503067484662,0.3539537161727387
