target,model,training_labels,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
section,Linear SVM,LLM Labels,0.1102941176470588,0.0965769193608644,0.0905661698090464,0.0470328497393081,0.3389669386022769,0.1102941176470588,0.1193574691421709
section,Linear SVM,Real Labels,0.8848039215686274,0.5144320523115626,0.5016370496230762,0.4944491741828796,0.8705601913264561,0.8848039215686274,0.8734177967879432
section,Logistic Regression,LLM Labels,0.0551470588235294,0.0972060765994057,0.0561317899428704,0.0198198029818822,0.3051603367696081,0.0551470588235294,0.0503992683759803
section,Logistic Regression,Real Labels,0.8051470588235294,0.3817916739337761,0.2909497577075297,0.3107465110169831,0.7792617869733898,0.8051470588235294,0.7731980086749889
section,Multinomial Naive Bayes,LLM Labels,0.0269607843137254,0.0016553787029889,0.0454545454545454,0.0031912595091213,0.001050053132695,0.0269607843137254,0.0020201964635101
section,Multinomial Naive Bayes,Real Labels,0.6666666666666666,0.2026901512672279,0.1473138440960676,0.153889415341396,0.6088865639821179,0.6666666666666666,0.5931545686545676
