actual_label,business,entertainment,health,news,politics,sport
business,3,0,0,15,1,2
entertainment,0,5,0,4,0,3
health,0,0,0,9,0,1
news,0,0,0,309,0,13
politics,0,0,0,4,11,0
sport,0,0,0,8,0,428
