actual_label,business,entertainment,health,news,politics,sport
business,16,0,0,3,1,1
entertainment,0,10,1,1,0,0
health,0,1,3,6,0,0
news,3,3,7,300,0,9
politics,0,0,0,3,12,0
sport,1,3,0,5,1,426
