actual_label,business,entertainment,health,news,politics,sport
business,15,0,0,6,0,0
entertainment,1,9,1,1,0,0
health,0,1,3,6,0,0
news,2,2,1,310,1,6
politics,0,0,0,4,11,0
sport,1,2,0,11,0,422
