actual_label,business,entertainment,health,news,politics,sport
business,16,0,1,0,4,0
entertainment,0,9,1,1,0,1
health,0,2,5,2,1,0
news,12,27,63,127,89,4
politics,1,0,1,1,12,0
sport,7,43,19,43,16,308
