actual_label,business,entertainment,health,news,politics,sport
business,17,0,1,2,1,0
entertainment,0,10,1,1,0,0
health,0,1,8,1,0,0
news,8,6,19,280,1,8
politics,0,0,1,2,12,0
sport,1,3,1,9,3,419
