label_or_average,precision,recall,f1-score,support
business,0.5882352941176471,0.47619047619047616,0.5263157894736842,21.0
entertainment,0.3125,0.8333333333333334,0.45454545454545453,12.0
health,0.061224489795918366,0.3,0.1016949152542373,10.0
news,0.7424892703862661,0.5372670807453416,0.6234234234234234,322.0
politics,0.10526315789473684,0.8,0.18604651162790697,15.0
sport,0.9757412398921833,0.8302752293577982,0.8971499380421314,436.0
accuracy,0.6985294117647058,0.6985294117647058,0.6985294117647058,0.6985294117647058
macro avg,0.4642422420144586,0.6295110199378248,0.46486267206113957,816.0
weighted avg,0.8367633077208584,0.6985294117647058,0.7502629156729969,816.0
