label_or_average,precision,recall,f1-score,support
business,1.0,0.14285714285714285,0.25,21.0
entertainment,1.0,0.4166666666666667,0.5882352941176471,12.0
health,0.0,0.0,0.0,10.0
news,0.8853868194842407,0.9596273291925466,0.9210134128166915,322.0
politics,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
sport,0.9574944071588367,0.981651376146789,0.9694224235560589,436.0
accuracy,0.9264705882352942,0.9264705882352942,0.9264705882352942,0.9264705882352942
macro avg,0.7932579822182907,0.5390226413660798,0.590580990884202,816.0
weighted avg,0.9182746536705617,0.9264705882352942,0.9114773791042283,816.0
