label_or_average,precision,recall,f1-score,support
business,0.4838709677419355,0.7142857142857143,0.5769230769230769,21.0
entertainment,0.2,0.75,0.3157894736842105,12.0
health,0.08064516129032258,0.5,0.1388888888888889,10.0
news,0.6007604562737643,0.4906832298136646,0.5401709401709401,322.0
politics,0.1092436974789916,0.8666666666666667,0.19402985074626866,15.0
sport,0.9831081081081081,0.6674311926605505,0.7950819672131147,436.0
accuracy,0.6017156862745098,0.6017156862745098,0.6017156862745098,0.6017156862745098
macro avg,0.4096047318155203,0.6648444672377661,0.42681403293774994,816.0
weighted avg,0.7807431365845049,0.6017156862745098,0.6627389404284789,816.0
