label_or_average,precision,recall,f1-score,support
business,0.3269230769230769,0.8095238095238095,0.4657534246575342,21.0
entertainment,0.10416666666666667,0.8333333333333334,0.18518518518518517,12.0
health,0.04854368932038835,0.5,0.08849557522123894,10.0
news,0.6766467065868264,0.35093167701863354,0.4621676891615542,322.0
politics,0.0990990990990991,0.7333333333333333,0.1746031746031746,15.0
sport,0.9860627177700348,0.6490825688073395,0.7828492392807745,436.0
accuracy,0.5379901960784313,0.5379901960784313,0.5379901960784313,0.5379901960784313
macro avg,0.37357365939434867,0.6460341203360749,0.359842381351577,816.0
weighted avg,0.8062388388036377,0.5379901960784313,0.6196658232202557,816.0
