label_or_average,precision,recall,f1-score,support
business,0.0,0.0,0.0,21.0
entertainment,0.0,0.0,0.0,12.0
health,0.0,0.0,0.0,10.0
news,0.8623595505617978,0.953416149068323,0.9056047197640118,322.0
politics,1.0,0.26666666666666666,0.42105263157894735,15.0
sport,0.9407894736842105,0.9839449541284404,0.9618834080717489,436.0
accuracy,0.9068627450980392,0.9068627450980392,0.9068627450980392,0.9068627450980392
macro avg,0.46719150404100135,0.367337961643905,0.38142345990245136,816.0
weighted avg,0.8613529237833514,0.9068627450980392,0.8790461705355128,816.0
