label_or_average,precision,recall,f1-score,support
business,0.75,0.14285714285714285,0.24,21.0
entertainment,0.0,0.0,0.0,12.0
health,0.029411764705882353,0.1,0.045454545454545456,10.0
news,0.7896825396825397,0.6180124223602484,0.6933797909407665,322.0
politics,0.13793103448275862,0.8,0.23529411764705882,15.0
sport,0.9264367816091954,0.9243119266055045,0.9253731343283582,436.0
accuracy,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7573529411764706
macro avg,0.438910353413396,0.4308635819704827,0.3565835980617882,816.0
weighted avg,0.8288202177986363,0.7573529411764706,0.7791114417516449,816.0
