target,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
category,overall,,0.6622699386503067,,,,3260,0.45273694079498034,0.6526289283401404,0.452960005060648,0.819600462394049,0.6622699386503067,0.7169989823648014
category,class,business,,0.6428571428571429,0.6506024096385542,0.6467065868263473,83,,,,,,
category,class,entertainment,,0.1541501976284585,0.8478260869565217,0.2608695652173913,46,,,,,,
category,class,health,,0.13333333333333333,0.14285714285714285,0.13793103448275862,42,,,,,,
category,class,news,,0.6683760683760683,0.6066718386346005,0.6360309068727125,1289,,,,,,
category,class,politics,,0.11934156378600823,0.9666666666666667,0.21245421245421245,60,,,,,,
category,class,sport,,0.9983633387888707,0.7011494252873564,0.8237677245104659,1740,,,,,,
